LAST SEEN   TYPE     REASON      OBJECT                              MESSAGE
71s         Normal   Scheduled   pod/benchmark-client                Successfully assigned rq21-ab-c3-client/benchmark-client to aks-rq15pool-31581052-vmss000000
54s         Normal   Scheduled   pod/rq21-ab-direct-20260516122011   Successfully assigned rq21-ab-c3-client/rq21-ab-direct-20260516122011 to aks-rq15pool-31581052-vmss000000
71s         Normal   Pulling     pod/benchmark-client                Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
70s         Normal   Pulled      pod/benchmark-client                Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 185ms (185ms including waiting). Image size: 413013146 bytes.
70s         Normal   Created     pod/benchmark-client                Created container: client
70s         Normal   Started     pod/benchmark-client                Started container client
54s         Normal   Pulling     pod/rq21-ab-direct-20260516122011   Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
54s         Normal   Pulled      pod/rq21-ab-direct-20260516122011   Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 105ms (105ms including waiting). Image size: 413013146 bytes.
54s         Normal   Created     pod/rq21-ab-direct-20260516122011   Created container: debug
54s         Normal   Started     pod/rq21-ab-direct-20260516122011   Started container debug
44s         Normal   Killing     pod/rq21-ab-direct-20260516122011   Stopping container debug
