LAST SEEN   TYPE     REASON              OBJECT                                                         MESSAGE
64s         Normal   Scheduled           pod/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f    Successfully assigned rq21-ab-c1-mesh-default/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f to aks-rq15pool-31581052-vmss000000
64s         Normal   Scheduled           pod/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn     Successfully assigned rq21-ab-c1-mesh-default/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn to aks-rq15pool-31581052-vmss000000
64s         Normal   ScalingReplicaSet   deployment/chain-2svc-mesh-default-no-authz-svc-1              Scaled up replica set chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687 from 0 to 1
64s         Normal   Pulled              pod/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
64s         Normal   Created             pod/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f    Created container: istio-init
64s         Normal   Started             pod/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f    Started container istio-init
64s         Normal   ScalingReplicaSet   deployment/chain-2svc-mesh-default-no-authz-svc-2              Scaled up replica set chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85 from 0 to 1
64s         Normal   SuccessfulCreate    replicaset/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85    Created pod: chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn
64s         Normal   Started             pod/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn     Started container istio-init
64s         Normal   Created             pod/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn     Created container: istio-init
64s         Normal   Pulled              pod/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn     Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
64s         Normal   SuccessfulCreate    replicaset/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687   Created pod: chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f
63s         Normal   Started             pod/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f    Started container istio-proxy
63s         Normal   Created             pod/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn     Created container: istio-proxy
63s         Normal   Pulled              pod/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
63s         Normal   Created             pod/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f    Created container: istio-proxy
63s         Normal   Started             pod/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn     Started container istio-proxy
63s         Normal   Pulled              pod/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn     Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
61s         Normal   Pulling             pod/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
61s         Normal   Pulling             pod/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn     Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
61s         Normal   Pulled              pod/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn     Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 121ms (121ms including waiting). Image size: 413013146 bytes.
61s         Normal   Created             pod/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn     Created container: inference
61s         Normal   Started             pod/chain-2svc-mesh-default-no-authz-svc-2-9bc95bc85-bmrrn     Started container inference
61s         Normal   Pulled              pod/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 192ms (192ms including waiting). Image size: 413013146 bytes.
61s         Normal   Created             pod/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f    Created container: inference
60s         Normal   Started             pod/chain-2svc-mesh-default-no-authz-svc-1-5ccb7b6687-p8c2f    Started container inference
