LAST SEEN   TYPE     REASON      OBJECT                              MESSAGE
71s         Normal   Scheduled   pod/benchmark-client                Successfully assigned rq21-ms-l3-mtls-client/benchmark-client to aks-rq15pool-53575030-vmss000000
55s         Normal   Scheduled   pod/rq21-ms-direct-20260516102600   Successfully assigned rq21-ms-l3-mtls-client/rq21-ms-direct-20260516102600 to aks-rq15pool-53575030-vmss000000
71s         Normal   Pulling     pod/benchmark-client                Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
70s         Normal   Pulled      pod/benchmark-client                Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 121ms (121ms including waiting). Image size: 413013146 bytes.
70s         Normal   Created     pod/benchmark-client                Created container: client
70s         Normal   Started     pod/benchmark-client                Started container client
55s         Normal   Pulling     pod/rq21-ms-direct-20260516102600   Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
55s         Normal   Pulled      pod/rq21-ms-direct-20260516102600   Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 206ms (206ms including waiting). Image size: 413013146 bytes.
55s         Normal   Created     pod/rq21-ms-direct-20260516102600   Created container: debug
55s         Normal   Started     pod/rq21-ms-direct-20260516102600   Started container debug
46s         Normal   Killing     pod/rq21-ms-direct-20260516102600   Stopping container debug
