LAST SEEN   TYPE     REASON      OBJECT                              MESSAGE
65s         Normal   Scheduled   pod/benchmark-client                Successfully assigned rq21-ms-l3-mtls-client/benchmark-client to aks-rq15pool-53575030-vmss000000
50s         Normal   Scheduled   pod/rq21-ms-direct-20260516104001   Successfully assigned rq21-ms-l3-mtls-client/rq21-ms-direct-20260516104001 to aks-rq15pool-53575030-vmss000000
65s         Normal   Pulling     pod/benchmark-client                Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
65s         Normal   Pulled      pod/benchmark-client                Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 133ms (133ms including waiting). Image size: 413013146 bytes.
65s         Normal   Created     pod/benchmark-client                Created container: client
65s         Normal   Started     pod/benchmark-client                Started container client
50s         Normal   Pulling     pod/rq21-ms-direct-20260516104001   Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
50s         Normal   Pulled      pod/rq21-ms-direct-20260516104001   Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 183ms (183ms including waiting). Image size: 413013146 bytes.
50s         Normal   Created     pod/rq21-ms-direct-20260516104001   Created container: debug
50s         Normal   Started     pod/rq21-ms-direct-20260516104001   Started container debug
40s         Normal   Killing     pod/rq21-ms-direct-20260516104001   Stopping container debug
